number_of_room,neighbourhood,material_quality,age,distance,number_of_bathroom,area,balcony,thermal_insulation_point,air_quality,price
3,Moderate,B,15.01,685.0,1,97.0,yes,22.4,23.3,384.8
4,Moderate,D,0.19,373.0,2,180.0,no,21.1,21.2,1182.2
2,Moderate,C,19.37,635.0,1,135.0,yes,25.4,27.3,469.1
3,Moderate,B,24.44,671.0,1,122.0,no,30.0,50.7,325.8
4,Very High,A,4.2,635.0,2,157.0,yes,24.8,41.4,734.2
4,High,A,4.85,664.0,2,132.0,yes,25.7,25.1,625.4
1,Very High,A,0.13,522.0,1,74.0,yes,21.1,28.9,837.7
2,Moderate,C,31.76,690.0,1,71.0,yes,25.7,30.7,223.8
1,Very High,B,9.42,686.0,1,67.0,yes,40.9,18.2,536.4
3,High,C,14.01,562.0,1,113.0,yes,34.3,24.3,732.1
1,Very High,A,7.3,693.0,1,70.0,yes,30.2,21.6,507.2
3,High,D,13.82,560.0,1,102.0,yes,21.8,24.8,699.6
3,Low,C,29.2,699.0,1,82.0,yes,36.7,32.9,196.9
2,Low,A,30.86,609.0,1,67.0,yes,34.6,27.9,333.0
3,Very Low,A,17.9,549.0,1,92.0,no,22.3,50.4,407.0
3,Moderate,A,22.76,494.0,1,119.0,yes,28.0,29.5,721.6
1,Very High,B,0.2,324.0,1,36.0,,21.1,24.9,1186.3
3,Very Low,B,29.13,634.0,1,83.0,yes,21.9,30.1,228.7
2,Moderate,B,20.76,656.0,1,143.0,yes,23.7,54.3,353.2
3,Moderate,B,8.8,512.0,1,82.0,,22.2,24.2,729.9
2,Moderate,B,23.73,658.0,1,115.0,yes,31.0,24.6,399.9
3,Moderate,A,28.94,601.0,1,60.0,yes,32.9,35.1,420.0
3,Moderate,B,13.26,703.0,1,141.0,yes,24.0,38.9,365.3
2,Very Low,B,31.41,545.0,1,69.0,yes,23.7,23.2,373.5
3,Moderate,B,19.93,655.0,1,64.0,,21.8,26.5,371.9
4,Very High,C,0.84,626.0,2,125.0,yes,21.6,32.4,755.7
2,Moderate,A,9.44,561.0,1,112.0,yes,29.7,28.2,647.4
2,Moderate,B,23.65,651.0,1,135.0,no,27.4,36.0,395.6
3,Moderate,B,11.35,487.0,1,150.0,no,21.4,19.0,843.8
4,Very High,A,4.8,611.0,2,143.0,yes,25.6,20.1,821.6
4,Very High,B,4.02,595.0,1,119.0,yes,24.6,42.8,752.0
3,Moderate,A,31.81,562.0,1,68.0,yes,34.2,80.2,367.1
4,Very High,A,7.18,665.0,2,165.0,yes,29.9,23.5,727.4
4,Moderate,C,6.02,701.0,2,145.0,yes,27.5,47.0,435.1
3,Moderate,D,25.56,664.0,1,149.0,yes,26.6,24.0,425.2
1,High,C,9.49,669.0,1,60.0,yes,41.8,30.8,458.1
3,Low,B,34.74,489.0,1,116.0,yes,51.2,72.8,520.7
3,Moderate,A,10.25,669.0,1,113.0,yes,23.9,25.4,454.7
3,High,C,23.03,679.0,1,144.0,yes,22.9,56.6,381.2
2,Moderate,B,32.38,486.0,1,123.0,no,32.1,26.1,685.2
3,Low,A,30.61,573.0,1,83.0,yes,21.5,30.9,404.5
3,Moderate,B,26.63,645.0,1,91.0,no,24.2,21.9,398.3
2,Very High,A,24.76,467.0,1,133.0,no,21.5,26.1,894.0
2,Very High,C,26.7,587.0,1,88.0,,23.7,26.2,614.5
3,Moderate,B,29.3,690.0,1,88.0,yes,21.5,22.3,288.6
4,High,C,2.9,677.0,2,154.0,,23.4,27.0,623.6
3,Very High,B,34.9,531.0,1,63.0,no,31.9,30.6,675.3
2,High,B,9.64,603.0,1,143.0,,37.5,21.4,702.5
2,Moderate,B,14.91,613.0,1,83.0,no,32.0,33.7,479.3
3,Very Low,A,17.99,566.0,1,78.0,yes,26.8,40.5,395.9
2,Moderate,D,23.55,611.0,1,75.0,yes,27.7,22.7,448.7
2,Moderate,C,24.86,688.0,1,64.0,yes,24.1,21.1,281.3
3,Moderate,C,19.59,650.0,1,93.0,yes,22.3,23.0,422.8
1,High,C,4.36,659.0,1,50.0,yes,25.0,38.1,442.1
3,Low,B,21.57,674.0,1,96.0,yes,30.2,19.1,324.6
3,Moderate,C,27.53,666.0,1,67.0,yes,21.5,27.4,309.2
4,Very High,A,0.21,629.0,2,139.0,no,21.1,20.0,799.9
4,Very High,A,7.71,527.0,2,142.0,yes,31.3,23.0,967.8
3,Moderate,A,30.6,683.0,1,150.0,no,23.5,28.7,343.5
3,Moderate,B,16.44,563.0,1,72.0,yes,29.5,40.7,551.0
3,Moderate,B,20.21,541.0,1,134.0,yes,30.3,51.1,607.6
3,Moderate,B,22.49,640.0,1,60.0,no,39.9,34.4,397.2
2,High,C,39.75,659.0,1,148.0,no,24.6,59.8,306.0
3,Moderate,B,17.37,674.0,1,98.0,no,24.1,52.9,317.2
2,Moderate,B,24.25,681.0,1,86.0,,32.5,35.3,298.4
